track_id,language,cluster_vae,cluster_pca
A001,unknown,3,4
A002,unknown,4,2
A003,unknown,3,0
A004,unknown,3,4
A005,unknown,4,2
A010,unknown,1,3
A011,unknown,4,2
A013,unknown,4,2
A014,unknown,1,3
A017,unknown,2,1
A018,unknown,3,4
A019,unknown,4,2
A020,unknown,4,2
A021,unknown,0,0
A022,unknown,4,2
A023,unknown,1,3
A024,unknown,1,3
A025,unknown,4,2
A028,unknown,1,3
A029,unknown,4,2
A030,unknown,3,0
A032,unknown,3,4
A034,unknown,0,0
A035,unknown,4,2
A038,unknown,2,3
A039,unknown,4,2
A042,unknown,2,1
A043,unknown,5,5
A045,unknown,4,4
A047,unknown,4,2
A048,unknown,3,0
A049,unknown,1,3
A050,unknown,0,0
A051,unknown,2,1
A052,unknown,1,3
A055,unknown,4,2
A058,unknown,3,4
A060,unknown,3,4
A061-66,unknown,5,5
A062-170,unknown,1,3
A063-90,unknown,4,2
A064-116,unknown,4,2
A066-140,unknown,0,0
A067-104,unknown,0,0
A068-167,unknown,1,3
A071-70,unknown,2,1
A073-143,unknown,0,0
A074-91,unknown,1,3
A077-122,unknown,2,1
A078-173,unknown,4,2
A080-92,unknown,1,3
A081-67,unknown,3,4
A082-93,unknown,1,3
A083-158,unknown,3,4
A084-75,unknown,0,0
A085-69,unknown,5,5
A086-123,unknown,1,3
A087-165,unknown,4,2
A088-136,unknown,0,0
A090-94,unknown,4,2
A091-95,unknown,1,3
A092-96,unknown,2,1
A094-110,unknown,4,2
A095-113,unknown,4,2
A096-68,unknown,5,5
A097-152,unknown,3,4
A098-154,unknown,3,0
A100-124,unknown,2,1
A101-111,unknown,4,2
A102-114,unknown,0,2
A103-99,unknown,1,3
A104-119,unknown,1,3
A105-117,unknown,0,0
A106-100,unknown,4,4
A107-115,unknown,4,2
A109-138,unknown,4,2
A111-141,unknown,3,4
A114-120,unknown,4,2
A115-84,unknown,4,2
A116-135,unknown,4,2
A117-76,unknown,5,1
A119-151,unknown,4,2
A120-168,unknown,3,0
A126-77,unknown,3,4
A127-133,unknown,1,3
A128-109,unknown,4,2
A130-162,unknown,4,2
A131-101,unknown,0,0
A132-121,unknown,1,3
